full_name,description,html_url,matched_list,matched_count,pushed_at,size,stargazers_count,language,forks_count,vul_ids
ronin-rb/ronin,"Ronin is a free and Open Source Ruby toolkit for security research and development. Ronin also allows for the rapid development and distribution of code, exploits, payloads, etc, via 3rd party git repositories.",https://github.com/ronin-rb/ronin,['exploit'],1,2023-03-23T18:12:36+0000,8640,535,Ruby,44,[]
keyuan15/CVE-2021-3129,Laravel RCE CVE-2021-3129,https://github.com/keyuan15/CVE-2021-3129,"['cve-2 OR cve_2', 'rce']",2,2023-03-11T15:33:20+0000,191,0,PHP,0,['CVE-2021-3129']
LeonardoRiveraITC/phantomJS-exploit,hosted file for cyberhack 2022,https://github.com/LeonardoRiveraITC/phantomJS-exploit,['exploit'],1,2023-03-11T13:30:53+0000,1,0,JavaScript,0,[]
Pro69Yes/GarbageHub,Want Very Col Huh for exploit? GarbageHub Is the solution!,https://github.com/Pro69Yes/GarbageHub,['exploit'],1,2023-03-21T08:58:11+0000,181,0,Lua,0,[]
the-dedsec/lokidroid-v-5,Best php rat 2023,https://github.com/the-dedsec/lokidroid-v-5,['exploit'],1,2023-03-11T13:37:57+0000,175,1,,0,[]
EasyLocal/RobloxExploitScriptsForVideo,None,https://github.com/EasyLocal/RobloxExploitScriptsForVideo,['exploit'],1,2023-03-11T12:17:57+0000,70,0,,0,[]
uicres/CVE-2023-25610-PoC,CVE-2023-25610 is an unauthenticated RCE which affects FortiOS and FortiProxy,https://github.com/uicres/CVE-2023-25610-PoC,"['cve poc', 'cve-2 OR cve_2', 'rce', 'rce poc']",4,2023-03-11T11:58:25+0000,1,1,,0,['CVE-2023-25610']
Jenderal92/Joomla-CVE-2023-23752,python 2.7,https://github.com/Jenderal92/Joomla-CVE-2023-23752,['cve-2 OR cve_2'],1,2023-03-11T11:29:16+0000,3,0,Python,0,['CVE-2023-23752']
VEEXH/Achat-0.150-beta7---Remote-Buffer-Overflow,This module exploits an unicode SEH based stack buffer overflow in Achat v0.150. By         sending a crafted message to the default port 9256 it's possible to overwrites the         SEH handler.,https://github.com/VEEXH/Achat-0.150-beta7---Remote-Buffer-Overflow,['exploit'],1,2023-03-11T11:23:06+0000,8,0,Python,0,[]
CY83R-3X71NC710N/CyberGenixX,"Develop a Python tool that performs sophisticated social engineering attacks on targeted individuals or organizations. This tool should integrate with common reconnaissance libraries such as Recon-ng, Scapy, and the Metasploit framework.",https://github.com/CY83R-3X71NC710N/CyberGenixX,['metasploit module OR payload'],1,2023-03-11T16:18:34+0000,12,1,Python,0,[]
KpwnZ/my_bugs_and_CVE_collection,"Collection of my bugs and CVE, with PoC or writeup",https://github.com/KpwnZ/my_bugs_and_CVE_collection,['cve poc'],1,2023-03-11T10:42:47+0000,2,3,Objective-C,1,[]
Firebasky/CVE-2023-21839,CVE-2023-21839工具,https://github.com/Firebasky/CVE-2023-21839,['cve-2 OR cve_2'],1,2023-03-11T08:28:28+0000,47621,9,,1,['CVE-2023-21839']
Ravjew/Dead-Frontier-2-Cheat,DeaD Frontier 2 Cheat Aimbot Softaim MORE,https://github.com/Ravjew/Dead-Frontier-2-Cheat,['exploit'],1,2023-03-11T07:40:01+0000,3,1,,0,[]
plusgiant5/TaaprWareV3,"A light and very basic level 8 custom DLL Roblox exploit, updated weekly. UI not included.",https://github.com/plusgiant5/TaaprWareV3,['exploit'],1,2023-03-17T05:27:43+0000,1364,5,C++,1,[]
Sq00ky/csharp-portscanner,simple C# portscanner - written for playing around with Metasploit's Execute-Assembly,https://github.com/Sq00ky/csharp-portscanner,['metasploit module OR payload'],1,2023-03-11T04:03:11+0000,2,0,C#,0,[]
CY83R-3X71NC710N/CybervoreX,"Develop a Python tool for privilege escalation attacks in Windows systems by exploiting vulnerabilities in Active Directory. Use libraries like Impacket, Pywin32, and win32api. Tool should identify target systems and escalate privileges through DLL injecti",https://github.com/CY83R-3X71NC710N/CybervoreX,['exploit'],1,2023-03-11T03:06:07+0000,10,1,Python,0,[]
Sigmw/CVE-2019-6111-poc,PoC made in Python to CVE-2019-6111.,https://github.com/Sigmw/CVE-2019-6111-poc,"['cve poc', 'cve-2 OR cve_2']",2,2023-03-11T04:11:55+0000,1,0,Python,0,['CVE-2019-6111']
CY83R-3X71NC710N/AssaultCipherX,Create a red teaming tool in Python that performs automated exploitation of web applications by analyzing traffic and identifying vulnerabilities using advanced machine learning algorithms and target-specific attack vectors. No external datasets or librari,https://github.com/CY83R-3X71NC710N/AssaultCipherX,['exploit'],1,2023-03-11T02:02:09+0000,10,1,Python,0,[]
divad90/divad90.github.io,Website about vulnerability research and exploit development,https://github.com/divad90/divad90.github.io,['exploit'],1,2023-03-11T00:54:20+0000,6,0,CSS,0,[]
codingcore12/SILENT-EXCEL-XLS-EXPLOIT-CLEAN-o4,None,https://github.com/codingcore12/SILENT-EXCEL-XLS-EXPLOIT-CLEAN-o4,['exploit'],1,2023-03-11T00:13:37+0000,1,1,,0,[]
codingcore12/SILENT-PDF-EXPLOIT-CLEAN-4o,None,https://github.com/codingcore12/SILENT-PDF-EXPLOIT-CLEAN-4o,['exploit'],1,2023-03-11T00:12:52+0000,1,0,,0,[]
codingcore12/SILENT-DOC-EXPLOIT-CLEAN-4o,None,https://github.com/codingcore12/SILENT-DOC-EXPLOIT-CLEAN-4o,['exploit'],1,2023-03-11T00:11:59+0000,1,1,,0,[]
kryptonx2/Exploit,None,https://github.com/kryptonx2/Exploit,['exploit'],1,2023-03-10T23:45:35+0000,2,0,Ruby,0,[]
xdjando2007r/git-clone-https-github.com-Cesar-Hack-Gray-FotoSploit,Insano,https://github.com/xdjando2007r/git-clone-https-github.com-Cesar-Hack-Gray-FotoSploit,['sploit'],1,2023-03-10T23:44:51+0000,0,0,,0,[]
Windz-GameDev/Brainpan-1-Exploit-A-Regency-Cybersecurity-UNF-Practicum-Project-Writeup,None,https://github.com/Windz-GameDev/Brainpan-1-Exploit-A-Regency-Cybersecurity-UNF-Practicum-Project-Writeup,['exploit'],1,2023-03-10T22:26:34+0000,8,0,,0,[]
kirazetsu/laravel,TOOLS AUTO CHECK AND AUTO EXPLOIT LARAVEL,https://github.com/kirazetsu/laravel,['exploit'],1,2023-03-10T21:51:36+0000,9,1,Python,0,[]
DiscordPtbBuilds/RobloxFilterService,A ROBLOX Service that restricts Script Execution (SE / RCE) on all clients (SERVER).,https://github.com/DiscordPtbBuilds/RobloxFilterService,['rce'],1,2023-03-11T14:36:16+0000,51,0,Lua,0,[]
Stefanuk12/R-ESP,An ESP library heavily inspired by sense,https://github.com/Stefanuk12/R-ESP,['exploit'],1,2023-03-19T22:26:07+0000,64,0,Lua,0,[]
adH08/Tom-Exploit,None,https://github.com/adH08/Tom-Exploit,['exploit'],1,2023-03-11T08:56:01+0000,3,0,,0,[]
Jumpvzl/Metasploit,None,https://github.com/Jumpvzl/Metasploit,['metasploit module OR payload'],1,2023-03-11T14:20:29+0000,2878,0,Ruby,0,[]
SirCryptic/cwv-scanner,This is a simple web application vulnerability scanner that checks if a given URL or IP address is vulnerable to common web application security vulnerabilities. The tool is designed to help website owners and security researchers identify vulnerabilities ,https://github.com/SirCryptic/cwv-scanner,['exploit'],1,2023-03-14T14:08:01+0000,23,0,PHP,0,[]
oletros-cysec/exploit-ecard,Il s'agit du projet entier relatif à mon article: https://cybersecurite.paris/blog/exploiter-ecard-generer-comptes-premium-linkedin-learning,https://github.com/oletros-cysec/exploit-ecard,['exploit'],1,2023-03-17T11:14:30+0000,14,0,Shell,0,[]
strobes-test/st-ExploitableApp,None,https://github.com/strobes-test/st-ExploitableApp,['exploit'],1,2023-03-11T16:55:56+0000,0,0,JavaScript,0,[]
hecyonro/Cyon,"Cyon, WPF roblox exploit that aims simplicity",https://github.com/hecyonro/Cyon,['exploit'],1,2023-03-13T04:11:34+0000,11,0,C#,0,[]
vamshi-vemula/JWT_Exploits,For PT Labs,https://github.com/vamshi-vemula/JWT_Exploits,['exploit'],1,2023-03-12T15:04:33+0000,15,0,Python,0,[]
bm402/log4j-demo,A demo of the Log4j RCE exploit,https://github.com/bm402/log4j-demo,"['exploit', 'rce']",2,2023-03-12T09:25:23+0000,0,0,,0,[]
TigerClips1/PS4JB_Update_Downloader_USB,What this script does is auto download ps4JB updates that you choose to your USB automation for linux only ,https://github.com/TigerClips1/PS4JB_Update_Downloader_USB,['exploit'],1,2023-03-23T15:36:42+0000,14,0,Python,0,[]
Bang1338/REGrabber,A Roblox IP Grabber for exploiter. Keep in mind that this is very bad idea. Powered by Discord API,https://github.com/Bang1338/REGrabber,['exploit'],1,2023-03-12T08:53:01+0000,12,0,Lua,0,[]
redmojo7/web_lab,"This is a Vulnerable Web Application , which be used to demonstrate how these vulnerabilities can be exploited and to understand how to prevent them.",https://github.com/redmojo7/web_lab,['exploit'],1,2023-03-13T06:46:37+0000,331,0,JavaScript,0,[]
obukunmi/zeroday,This is my first repository as a full-stack engineer,https://github.com/obukunmi/zeroday,['zeroday'],1,2023-03-12T01:52:57+0000,0,0,,0,[]
RBX-Exploiter/RobloxExploiters,None,https://github.com/RBX-Exploiter/RobloxExploiters,['exploit'],1,2023-03-12T00:09:57+0000,0,0,,0,[]
Ferdydollar/zeroday,This is my first repository as a full-stack engineer,https://github.com/Ferdydollar/zeroday,['zeroday'],1,2023-03-12T00:02:39+0000,0,0,,0,[]
VEnditta0Xx/Exploits,None,https://github.com/VEnditta0Xx/Exploits,['exploit'],1,2023-03-12T00:02:01+0000,1,0,Python,0,[]
RBX-Exploiter/RobloxExploiters.github.io,My website :),https://github.com/RBX-Exploiter/RobloxExploiters.github.io,['exploit'],1,2023-03-12T00:05:26+0000,6407,0,HTML,0,[]
codingcore12/SILENT-DOC-EXPLOIT-CLEAN-11,None,https://github.com/codingcore12/SILENT-DOC-EXPLOIT-CLEAN-11,['exploit'],1,2023-03-11T23:58:25+0000,1,1,,0,[]
codingcore12/SILENT-PDF-EXPLOIT-CLEAN-11,None,https://github.com/codingcore12/SILENT-PDF-EXPLOIT-CLEAN-11,['exploit'],1,2023-03-11T23:57:38+0000,1,1,,0,[]
codingcore12/SILENT-EXCEL-XLS-EXPLOIT-CLEAN-11,None,https://github.com/codingcore12/SILENT-EXCEL-XLS-EXPLOIT-CLEAN-11,['exploit'],1,2023-03-11T23:56:51+0000,1,1,,0,[]
Fortunehechi/zeroday,This is my first repository as a full-stack engineer,https://github.com/Fortunehechi/zeroday,['zeroday'],1,2023-03-11T23:54:53+0000,0,0,,0,[]
MonsterYT-DaGamer/utmm-exploit-v1,None,https://github.com/MonsterYT-DaGamer/utmm-exploit-v1,['exploit'],1,2023-03-11T23:39:20+0000,4,0,,0,[]
